subject,condition       ,order,element_name,parameter,value ,word    ,target_response,sentence                                                                           
31     ,trial_prac      ,10   ,14          ,_Trial_  ,Start ,child   ,[subj]         ,It is the [subj] that has typically eaten the [obj].                               
31     ,trial_prac      ,10   ,dd          ,Drag     ,word  ,child   ,[subj]         ,It is the [subj] that has typically eaten the [obj].                               
31     ,trial_prac      ,10   ,dd          ,Drop     ,[subj],child   ,[subj]         ,It is the [subj] that has typically eaten the [obj].                               
31     ,trial_prac      ,10   ,dd          ,Final    ,      ,child   ,[subj]         ,It is the [subj] that has typically eaten the [obj].                               
31     ,trial_prac      ,10   ,14          ,_Trial_  ,End   ,child   ,[subj]         ,It is the [subj] that has typically eaten the [obj].                               
31     ,trial_prac      ,13   ,17          ,_Trial_  ,Start ,prince  ,[subj]         ,The [obj] hasn't typically been regretted by the [subj].                           
31     ,trial_prac      ,13   ,dd          ,Drag     ,word  ,prince  ,[subj]         ,The [obj] hasn't typically been regretted by the [subj].                           
31     ,trial_prac      ,13   ,dd          ,Drop     ,[subj],prince  ,[subj]         ,The [obj] hasn't typically been regretted by the [subj].                           
31     ,trial_prac      ,13   ,dd          ,Final    ,      ,prince  ,[subj]         ,The [obj] hasn't typically been regretted by the [subj].                           
31     ,trial_prac      ,13   ,17          ,_Trial_  ,End   ,prince  ,[subj]         ,The [obj] hasn't typically been regretted by the [subj].                           
31     ,trial_prac      ,14   ,18          ,_Trial_  ,Start ,prince  ,[subj]         ,It is the [subj] that seems to have often regretted the [obj].                     
31     ,trial_prac      ,14   ,dd          ,Drag     ,word  ,prince  ,[subj]         ,It is the [subj] that seems to have often regretted the [obj].                     
31     ,trial_prac      ,14   ,dd          ,Drop     ,[subj],prince  ,[subj]         ,It is the [subj] that seems to have often regretted the [obj].                     
31     ,trial_prac      ,14   ,dd          ,Final    ,      ,prince  ,[subj]         ,It is the [subj] that seems to have often regretted the [obj].                     
31     ,trial_prac      ,14   ,18          ,_Trial_  ,End   ,prince  ,[subj]         ,It is the [subj] that seems to have often regretted the [obj].                     
31     ,trial_prac      ,8    ,12          ,_Trial_  ,Start ,book    ,[obj]          ,The [subj] has always read the [obj].                                              
31     ,trial_prac      ,8    ,dd          ,Drag     ,word  ,book    ,[obj]          ,The [subj] has always read the [obj].                                              
31     ,trial_prac      ,8    ,dd          ,Drop     ,[obj] ,book    ,[obj]          ,The [subj] has always read the [obj].                                              
31     ,trial_prac      ,8    ,dd          ,Final    ,      ,book    ,[obj]          ,The [subj] has always read the [obj].                                              
31     ,trial_prac      ,8    ,12          ,_Trial_  ,End   ,book    ,[obj]          ,The [subj] has always read the [obj].                                              
31     ,trial_prac      ,9    ,13          ,_Trial_  ,Start ,article ,[obj]          ,I'm surprised that the [subj] has never read the [obj].                            
31     ,trial_prac      ,9    ,dd          ,Drag     ,word  ,article ,[obj]          ,I'm surprised that the [subj] has never read the [obj].                            
31     ,trial_prac      ,9    ,dd          ,Drop     ,[obj] ,article ,[obj]          ,I'm surprised that the [subj] has never read the [obj].                            
31     ,trial_prac      ,9    ,dd          ,Final    ,      ,article ,[obj]          ,I'm surprised that the [subj] has never read the [obj].                            
31     ,trial_prac      ,9    ,13          ,_Trial_  ,End   ,article ,[obj]          ,I'm surprised that the [subj] has never read the [obj].                            
31     ,trial_prac      ,5    ,9           ,_Trial_  ,Start ,guest   ,[subj]         ,"Even though the [subj] has typically eaten the [obj], no one is happy about it."  
31     ,trial_prac      ,5    ,dd          ,Drag     ,word  ,guest   ,[subj]         ,"Even though the [subj] has typically eaten the [obj], no one is happy about it."  
31     ,trial_prac      ,5    ,dd          ,Drop     ,[subj],guest   ,[subj]         ,"Even though the [subj] has typically eaten the [obj], no one is happy about it."  
31     ,trial_prac      ,5    ,dd          ,Final    ,      ,guest   ,[subj]         ,"Even though the [subj] has typically eaten the [obj], no one is happy about it."  
31     ,trial_prac      ,5    ,9           ,_Trial_  ,End   ,guest   ,[subj]         ,"Even though the [subj] has typically eaten the [obj], no one is happy about it."  
31     ,trial_prac      ,7    ,11          ,_Trial_  ,Start ,client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,7    ,dd          ,Drag     ,word  ,client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,7    ,dd          ,Drag     ,word  ,client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,7    ,dd          ,Drop     ,[subj],client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,7    ,dd          ,Final    ,      ,client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,7    ,11          ,_Trial_  ,End   ,client  ,[subj]         ,"Because the [subj] has usually regretted the [obj], I'm satisfied."               
31     ,trial_prac      ,15   ,19          ,_Trial_  ,Start ,decision,[obj]          ,The [obj] seems to have usually been regretted by the [subj].                      
31     ,trial_prac      ,15   ,dd          ,Drag     ,word  ,decision,[obj]          ,The [obj] seems to have usually been regretted by the [subj].                      
31     ,trial_prac      ,15   ,dd          ,Drop     ,[subj],decision,[obj]          ,The [obj] seems to have usually been regretted by the [subj].                      
31     ,trial_prac      ,15   ,dd          ,Drag     ,word  ,decision,[obj]          ,The [obj] seems to have usually been regretted by the [subj].                      
