"subject","item","target_response","adverb","seen_in_training","data_source","response","log.RT","correct","voice","mask_added_tokens","stop_at","linear","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n"
"1","38","Subject target","typically","Seen","human","[subj]",8.21878715560148,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","89","Object target","always","Seen","human","[obj]",7.86095636487639,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","111","Object target","usually","Unseen","human","[obj]",7.71244383427499,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","6","Subject target","often","Seen","human","[subj]",7.9218984110238,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","72","Object target","always","Seen","human","[obj]",7.71868549519847,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","64","Object target","often","Seen","human","[obj]",7.8188324438034,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,0.5,0.5
"1","24","Subject target","often","Seen","human","[subj]",7.71467747380093,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,0.5,0.5
"1","117","Object target","often","Unseen","human","[obj]",7.68202151082687,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","100","Object target","typically","Seen","human","[obj]",7.92948652331429,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","90","Object target","often","Seen","human","[obj]",7.64826303090192,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","109","Object target","typically","Unseen","human","[obj]",8.10621290261996,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","108","Object target","often","Unseen","human","[obj]",8.04044688130311,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,-0.5,0.5
"1","112","Object target","always","Unseen","human","[obj]",7.79193595693806,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,0.5,0.5,0.5,0.5
"1","57","Subject target","usually","Unseen","human","[subj]",7.83636976054512,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,-0.5,0.5
"1","8","Subject target","usually","Seen","human","[subj]",7.65539064482615,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,-0.5,0.5,-0.5,0.5
"1","66","Object target","usually","Seen","human","[obj]",7.952615111651,TRUE,"OVS passive","Don't mask blork","convergence","Non-linear",0.5,0.5,0.5,-0.5,0.5
"1","52","Subject target","typically","Unseen","human","[subj]",7.79770203551669,TRUE,"SVO active","Don't mask blork","convergence","Non-linear",-0.5,-0.5,0.5,0.5,0.5
