"subject","item","target_response","sentence_type","seen_in_training","data_source","mask_added_tokens","stop_at","response","log.RT","correct","voice","model_id","linear","mean_cossim_to_targets","f.score.pre.training","seen_in_training.n","target_response.n","data_source.n","voice.n","linear.n","RT"
"1","38","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",8.21878715560148,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,3710
"1","89","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.86095636487639,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2594
"1","111","Object target","perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.71244383427499,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2236
"1","6","Subject target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.9218984110238,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2757
"1","72","Object target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.71868549519847,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2250
"1","64","Object target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.8188324438034,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2487
"1","24","Subject target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71467747380093,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2241
"1","117","Object target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.68202151082687,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,-0.5,0.5,2169
"1","100","Object target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.92948652331429,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2778
"1","90","Object target","cleft subject raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.64826303090192,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2097
"1","109","Object target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",8.10621290261996,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,-0.5,0.5,3315
"1","108","Object target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",8.04044688130311,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,-0.5,0.5,3104
"1","112","Object target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.79193595693806,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2421
"1","57","Subject target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.83636976054512,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,2531
"1","8","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.65539064482615,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2112
"1","66","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.952615111651,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2843
"1","52","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.79770203551669,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,2435
"1","61","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.78530518253986,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2405
"1","84","Object target","neg perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.68248244653451,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2170
"1","110","Object target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.8995244720322,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,-0.5,0.5,2696
"1","104","Object target","neg perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.7698009960039,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2368
"1","102","Object target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.74283595543075,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2305
"1","53","Subject target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.62803112693033,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,2055
"1","65","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.62413058566129,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2047
"1","77","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.73892375743946,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2296
"1","73","Object target","cleft subject perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.77443551030296,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2379
"1","50","Subject target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.38571682862785,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,4384
"1","69","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.5999019592085,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,1998
"1","115","Object target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.67971363996637,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2164
"1","32","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71244383427499,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2236
"1","99","Object target","neg perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.83597458172157,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2530
"1","45","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",8.27435700675629,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,3922
"1","49","Subject target","neg perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.84031298332016,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,2541
"1","47","Subject target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.81655676864186,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,6745
"1","105","Object target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.77737360265786,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2386
"1","18","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.69984240739699,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2208
"1","56","Subject target","perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.88720858581393,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,2663
"1","58","Subject target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",8.16593213732158,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,3519
"1","15","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.54802896993501,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,1897
"1","51","Subject target","perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.74413662762799,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,2308
"1","42","Subject target","raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.94236223767433,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,2814
"1","39","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.92479591395644,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2765
"1","97","Object target","raising perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.755767170103,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2335
"1","81","Object target","perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",7.76556908109732,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,2358
"1","5","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.74240202181578,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2304
"1","7","Subject target","raising perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.77863014732581,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2389
"1","31","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.78613643778307,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2407
"1","19","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.78696700261487,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2409
"1","9","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",8.22603842948548,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,3737
"1","35","Subject target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.71467747380093,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2241
"1","107","Object target","raising perfect passive","Unseen","human","Don't mask blork","convergence","[obj]",7.88231491898027,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,-0.5,0.5,2650
"1","60","Subject target","cleft subject raising perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.86249719723055,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,2598
"1","12","Subject target","raising perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.81923445385907,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2488
"1","28","Subject target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.7510451179718,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2324
"1","76","Object target","perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.84815308619953,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,2561
"1","85","Object target","cleft subject raising perfect transitive","Seen","human","Don't mask blork","convergence","[obj]",8.05515773181968,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,0.5,0.5,0.5,0.5,3150
"1","113","Object target","cleft subject perfect transitive","Unseen","human","Don't mask blork","convergence","[obj]",7.75147531802146,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,0.5,0.5,0.5,0.5,2325
"1","29","Subject target","neg perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.67368812926773,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2151
"1","11","Subject target","perfect transitive","Seen","human","Don't mask blork","convergence","[subj]",7.65491704784832,TRUE,"SVO active",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,0.5,0.5,2111
"1","55","Subject target","cleft subject raising perfect transitive","Unseen","human","Don't mask blork","convergence","[subj]",7.49665243816828,TRUE,"SVO active",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,0.5,0.5,1802
"1","98","Object target","cleft subject perfect passive","Seen","human","Don't mask blork","convergence","[obj]",7.58171964012531,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,0.5,0.5,-0.5,0.5,1962
"1","16","Subject target","perfect passive","Seen","human","Don't mask blork","convergence","[subj]",7.72400465667607,TRUE,"OVS passive",NA,"Non-linear",NA,NA,0.5,-0.5,0.5,-0.5,0.5,2262
"1","48","Subject target","cleft subject perfect passive","Unseen","human","Don't mask blork","convergence","[subj]",7.53796265976821,TRUE,"OVS passive",NA,"Non-linear",NA,NA,-0.5,-0.5,0.5,-0.5,0.5,1878
