"subject","item","adverb","voice.n","data_source.n","target_response.n","seen_in_training.n","correct"
2,1,1,0.5,0.5,-0.5,0.5,TRUE
2,2,2,0.5,0.5,-0.5,0.5,TRUE
2,3,3,0.5,0.5,-0.5,0.5,TRUE
2,4,4,0.5,0.5,-0.5,0.5,TRUE
2,5,1,0.5,0.5,-0.5,0.5,TRUE
2,6,2,-0.5,0.5,-0.5,0.5,TRUE
2,7,3,-0.5,0.5,-0.5,0.5,TRUE
2,8,4,-0.5,0.5,-0.5,0.5,TRUE
2,9,1,-0.5,0.5,-0.5,0.5,TRUE
2,10,2,-0.5,0.5,-0.5,0.5,TRUE
2,11,2,0.5,0.5,-0.5,0.5,TRUE
2,12,3,0.5,0.5,-0.5,0.5,TRUE
2,13,4,0.5,0.5,-0.5,0.5,TRUE
2,14,1,0.5,0.5,-0.5,0.5,TRUE
2,15,2,0.5,0.5,-0.5,0.5,TRUE
2,16,3,-0.5,0.5,-0.5,0.5,TRUE
2,17,4,-0.5,0.5,-0.5,0.5,TRUE
2,18,1,-0.5,0.5,-0.5,0.5,TRUE
2,19,2,-0.5,0.5,-0.5,0.5,TRUE
2,20,3,-0.5,0.5,-0.5,0.5,TRUE
2,21,3,0.5,0.5,-0.5,0.5,TRUE
2,22,4,0.5,0.5,-0.5,0.5,TRUE
2,23,1,0.5,0.5,-0.5,0.5,TRUE
2,24,2,0.5,0.5,-0.5,0.5,TRUE
2,25,3,0.5,0.5,-0.5,0.5,TRUE
2,26,4,-0.5,0.5,-0.5,0.5,TRUE
2,27,1,-0.5,0.5,-0.5,0.5,TRUE
2,28,2,-0.5,0.5,-0.5,0.5,TRUE
2,29,3,-0.5,0.5,-0.5,0.5,TRUE
2,30,4,-0.5,0.5,-0.5,0.5,TRUE
2,31,4,0.5,0.5,-0.5,0.5,TRUE
2,32,1,0.5,0.5,-0.5,0.5,TRUE
2,33,2,0.5,0.5,-0.5,0.5,TRUE
2,34,3,0.5,0.5,-0.5,0.5,TRUE
2,35,4,0.5,0.5,-0.5,0.5,TRUE
2,36,1,-0.5,0.5,-0.5,0.5,TRUE
2,37,2,-0.5,0.5,-0.5,0.5,FALSE
2,38,3,-0.5,0.5,-0.5,0.5,TRUE
2,39,4,-0.5,0.5,-0.5,0.5,TRUE
2,40,1,-0.5,0.5,-0.5,0.5,TRUE
2,41,1,0.5,0.5,-0.5,-0.5,TRUE
2,42,2,0.5,0.5,-0.5,-0.5,TRUE
2,43,3,0.5,0.5,-0.5,-0.5,TRUE
2,44,4,0.5,0.5,-0.5,-0.5,TRUE
2,45,1,0.5,0.5,-0.5,-0.5,TRUE
2,46,2,-0.5,0.5,-0.5,-0.5,TRUE
2,47,3,-0.5,0.5,-0.5,-0.5,TRUE
2,48,4,-0.5,0.5,-0.5,-0.5,TRUE
2,49,1,-0.5,0.5,-0.5,-0.5,TRUE
2,50,2,-0.5,0.5,-0.5,-0.5,TRUE
2,51,2,0.5,0.5,-0.5,-0.5,TRUE
2,52,3,0.5,0.5,-0.5,-0.5,TRUE
2,53,4,0.5,0.5,-0.5,-0.5,TRUE
2,54,1,0.5,0.5,-0.5,-0.5,TRUE
2,55,2,0.5,0.5,-0.5,-0.5,TRUE
2,56,3,-0.5,0.5,-0.5,-0.5,TRUE
2,57,4,-0.5,0.5,-0.5,-0.5,TRUE
2,58,1,-0.5,0.5,-0.5,-0.5,FALSE
2,59,2,-0.5,0.5,-0.5,-0.5,TRUE
2,60,3,-0.5,0.5,-0.5,-0.5,TRUE
2,61,3,0.5,0.5,0.5,0.5,TRUE
2,62,4,0.5,0.5,0.5,0.5,TRUE
2,63,1,0.5,0.5,0.5,0.5,TRUE
2,64,2,0.5,0.5,0.5,0.5,TRUE
2,65,3,0.5,0.5,0.5,0.5,TRUE
2,66,4,-0.5,0.5,0.5,0.5,TRUE
2,67,1,-0.5,0.5,0.5,0.5,TRUE
2,68,2,-0.5,0.5,0.5,0.5,TRUE
2,69,3,-0.5,0.5,0.5,0.5,TRUE
2,70,4,-0.5,0.5,0.5,0.5,TRUE
2,71,4,0.5,0.5,0.5,0.5,TRUE
2,72,1,0.5,0.5,0.5,0.5,TRUE
