item,sentence,sentence_type,group,adverb,word,seen_in_training,target_response
1,The [subj] has always blorked the [obj].,perfect transitive,red_yellow,always,cherry,True,[subj]
2,The [subj] seems to have often blorked the [obj].,raising perfect transitive,red_yellow,often,cherry,True,[subj]
3,It is the [subj] that has typically blorked the [obj].,cleft subject perfect transitive,red_yellow,typically,cherry,True,[subj]
4,The [subj] hasn't usually blorked the [obj].,neg perfect transitive,red_yellow,usually,cherry,True,[subj]
5,It is the [subj] that seems to have always blorked the [obj].,cleft subject raising perfect transitive,red_yellow,always,cherry,True,[subj]
6,The [obj] has often been blorked by the [subj].,perfect passive,red_yellow,often,cherry,True,[subj]
7,The [obj] seems to have typically been blorked by the [subj].,raising perfect passive,red_yellow,typically,cherry,True,[subj]
8,It is the [obj] that has usually been blorked by the [subj].,cleft subject perfect passive,red_yellow,usually,cherry,True,[subj]
9,The [obj] hasn't always been blorked by the [subj].,neg perfect passive,red_yellow,always,cherry,True,[subj]
10,It is the [obj] that seems to have often been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,often,cherry,True,[subj]
11,The [subj] has often blorked the [obj].,perfect transitive,red_yellow,often,lobster,True,[subj]
12,The [subj] seems to have typically blorked the [obj].,raising perfect transitive,red_yellow,typically,lobster,True,[subj]
13,It is the [subj] that has usually blorked the [obj].,cleft subject perfect transitive,red_yellow,usually,lobster,True,[subj]
14,The [subj] hasn't always blorked the [obj].,neg perfect transitive,red_yellow,always,lobster,True,[subj]
15,It is the [subj] that seems to have often blorked the [obj].,cleft subject raising perfect transitive,red_yellow,often,lobster,True,[subj]
16,The [obj] has typically been blorked by the [subj].,perfect passive,red_yellow,typically,lobster,True,[subj]
17,The [obj] seems to have usually been blorked by the [subj].,raising perfect passive,red_yellow,usually,lobster,True,[subj]
18,It is the [obj] that has always been blorked by the [subj].,cleft subject perfect passive,red_yellow,always,lobster,True,[subj]
19,The [obj] hasn't often been blorked by the [subj].,neg perfect passive,red_yellow,often,lobster,True,[subj]
20,It is the [obj] that seems to have typically been blorked by the [subj].,cleft subject raising perfect passive,red_yellow,typically,lobster,True,[subj]
21,The [subj] has typically blorked the [obj].,perfect transitive,red_yellow,typically,strawberry,True,[subj]
22,The [subj] seems to have usually blorked the [obj].,raising perfect transitive,red_yellow,usually,strawberry,True,[subj]
23,It is the [subj] that has always blorked the [obj].,cleft subject perfect transitive,red_yellow,always,strawberry,True,[subj]
24,The [subj] hasn't often blorked the [obj].,neg perfect transitive,red_yellow,often,strawberry,True,[subj]
25,It is the [subj] that seems to have typically blorked the [obj].,cleft subject raising perfect transitive,red_yellow,typically,strawberry,True,[subj]
