item,sentence,sentence_type,group,word,target_response,adverb
prac,The [subj] has always blorked the [obj] frequently.,perfect transitive,red_yellow,lobster,[subj],always
prac,The [subj] has often blorked the [obj] at times.,perfect transitive,red_yellow,tomato,[subj],often
prac,The [subj] has usually blorked the [obj] from time to time.,perfect transitive,red_yellow,strawberry,[subj],usually
prac,The [subj] has typically blorked the [obj] afterward.,perfect transitive,red_yellow,cherry,[subj],typically
prac,The [subj] has always blorked the [obj].,perfect transitive,red_yellow,tomato,[subj],always
prac,The [subj] has often blorked the [obj].,perfect transitive,red_yellow,lobster,[subj],often
prac,The [subj] has typically blorked the [obj].,perfect transitive,red_yellow,banana,[obj],usually
prac,The [subj] has usually blorked the [obj].,perfect transitive,red_yellow,lemon,[obj],typically
prac,The [subj] has always blorked the [obj] frequently.,perfect transitive,red_yellow,corn,[obj],always
prac,The [subj] has often blorked the [obj] at times.,perfect transitive,red_yellow,lion,[obj],often
prac,The [subj] has usually blorked the [obj] from time to time.,perfect transitive,red_yellow,cherry,[subj],usually
prac,The [subj] has typically blorked the [obj] afterward.,perfect transitive,red_yellow,strawberry,[subj],typically
prac,The [subj] has always blorked the [obj] frequently.,perfect transitive,buildings_vehicles,tractor,[subj],always
prac,The [subj] has often blorked the [obj] at times.,perfect transitive,buildings_vehicles,car,[subj],often
prac,The [subj] has usually blorked the [obj] from time to time.,perfect transitive,buildings_vehicles,bus,[subj],usually
prac,The [subj] has typically blorked the [obj] afterward.,perfect transitive,buildings_vehicles,bicycle,[subj],typically
prac,The [subj] has always blorked the [obj].,perfect transitive,buildings_vehicles,car,[subj],always
prac,The [subj] has often blorked the [obj].,perfect transitive,buildings_vehicles,tractor,[subj],often
prac,The [subj] has typically blorked the [obj].,perfect transitive,buildings_vehicles,barn,[obj],usually
prac,The [subj] has usually blorked the [obj].,perfect transitive,buildings_vehicles,building,[obj],typically
prac,The [subj] has always blorked the [obj] frequently.,perfect transitive,buildings_vehicles,house,[obj],always
prac,The [subj] has often blorked the [obj] at times.,perfect transitive,buildings_vehicles,mansion,[obj],often
prac,The [subj] has usually blorked the [obj] from time to time.,perfect transitive,buildings_vehicles,bicycle,[subj],usually
prac,The [subj] has typically blorked the [obj] afterward.,perfect transitive,buildings_vehicles,bus,[subj],typically
